ID,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,city,median_income_range,Housevalue_Range,Housing_Age_range,Residents,block
29,-115.37,32.81,23,1458,294,866,275,2.3594,74300,Beaumont,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R29,Block 29
30,-115.38,32.82,38,1892,394,1175,374,1.9939,65800,Bell Gardens,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R30,Block 30
31,-115.38,32.81,35,1263,262,950,241,1.8958,67500,Bellflower,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R31,Block 31
32,-115.39,32.76,16,1136,196,481,185,6.2558,146300,Belmont,4.767 < income <= 15.0001 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R32,Block 32
33,-115.4,32.86,19,1087,171,649,173,3.3182,113800,Belvedere,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R33,Block 33
34,-115.4,32.7,19,583,113,531,134,1.6838,95800,Berkeley,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R34,Block 34
35,-115.41,32.99,29,1141,220,684,194,3.4038,107800,Beverly Hills,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R35,Block 35
36,-115.46,33.19,33,1234,373,777,298,1,40000,Big Bear Lake,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R36,Block 36
37,-115.48,32.8,21,1260,246,805,239,2.6172,88500,Biggs,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R37,Block 37
38,-115.48,32.68,15,3414,666,2097,622,2.3319,91200,Bishop,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R38,Block 38
39,-115.49,32.87,19,541,104,457,106,3.3583,102800,Blue Lake,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R39,Block 39
40,-115.49,32.69,17,1960,389,1691,356,1.899,64000,Blythe,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R40,Block 40
41,-115.49,32.67,29,1523,440,1302,393,1.1311,84700,Bradbury,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R41,Block 41
42,-115.49,32.67,25,2322,573,2185,602,1.375,70100,Bradbury,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R42,Block 42
43,-115.5,32.75,13,330,72,822,64,3.4107,142500,Brea,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R43,Block 43
44,-115.5,32.68,18,3631,913,3565,924,1.5931,88400,Brentwood,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R44,Block 44
45,-115.5,32.67,35,2159,492,1694,475,2.1776,75500,Brisbane,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R45,Block 45
46,-115.51,33.24,32,1995,523,1069,410,1.6552,43300,Buellton,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R46,Block 46
47,-115.51,33.12,21,1024,218,890,232,2.101,46700,Buena Park,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R47,Block 47
48,-115.51,32.99,20,1402,287,1104,317,1.9088,63700,Burbank,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R48,Block 48
49,-115.51,32.68,11,2872,610,2644,581,2.625,72700,Burlingame,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R49,Block 49
50,-115.52,34.22,30,540,136,122,63,1.3333,42500,Calabasas,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R50,Block 50
51,-115.52,33.13,18,1109,283,1006,253,2.163,53400,Calexico,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R51,Block 51
52,-115.52,33.12,38,1327,262,784,231,1.8793,60800,California City,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R52,Block 52
53,-115.52,32.98,32,1615,382,1307,345,1.4583,58600,Calimesa,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R53,Block 53
54,-115.52,32.97,24,1617,366,1416,401,1.975,66400,Calipatria,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R54,Block 54
55,-115.52,32.97,10,1879,387,1376,337,1.9911,67500,Calipatria,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R55,Block 55
56,-115.52,32.77,18,1715,337,1166,333,2.2417,79200,Camarillo,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R56,Block 56
57,-115.52,32.73,17,1190,275,1113,258,2.3571,63100,Campbell,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R57,Block 57
58,-115.52,32.67,6,2804,581,2807,594,2.0625,67700,Canyon Lake,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R58,Block 58
59,-115.53,34.91,12,807,199,246,102,2.5391,40000,Capitola,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R59,Block 59
60,-115.53,32.99,25,2578,634,2082,565,1.7159,62200,Carlsbad,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R60,Block 60
61,-115.53,32.97,35,1583,340,933,318,2.4063,70700,Carmel-By-the-Sea,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R61,Block 61
62,-115.53,32.97,34,2231,545,1568,510,1.5217,60300,Carmel-By-the-Sea,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R62,Block 62
63,-115.53,32.73,14,1527,325,1453,332,1.735,61200,Carson,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R63,Block 63
64,-115.54,32.99,23,1459,373,1148,388,1.5372,69400,Cathedral City,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R64,Block 64
65,-115.54,32.99,17,1697,268,911,254,4.3523,96000,Cathedral City,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R65,Block 65
66,-115.54,32.98,27,1513,395,1121,381,1.9464,60600,Cerritos,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R66,Block 66
67,-115.54,32.97,41,2429,454,1188,430,3.0091,70800,Chico,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R67,Block 67
68,-115.54,32.79,23,1712,403,1370,377,1.275,60400,Chino,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R68,Block 68
69,-115.55,32.98,33,2266,365,952,360,5.4349,143000,Chino Hills,4.767 < income <= 15.0001 ,119400.0 < House_Value <= 180400.0 ,29.0 < Housing_Age < 37.0 ,R69,Block 69
70,-115.55,32.98,24,2565,530,1447,473,3.2593,80800,Chino Hills,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R70,Block 70
71,-115.55,32.82,34,1540,316,1013,274,2.5664,67500,Chula Vista,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R71,Block 71
72,-115.55,32.8,23,666,142,580,160,2.1136,61000,Citrus Heights,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R72,Block 72
73,-115.55,32.79,23,1004,221,697,201,1.6351,59600,Claremont,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R73,Block 73
74,-115.55,32.79,22,565,162,692,141,1.2083,53600,Claremont,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R74,Block 74
75,-115.55,32.78,5,2652,606,1767,536,2.8025,84300,Clearlake,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R75,Block 75
76,-115.56,32.96,21,2164,480,1164,421,3.8177,107200,Cloverdale,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R76,Block 76
77,-115.56,32.8,28,1672,416,1335,397,1.5987,59400,Clovis,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R77,Block 77
78,-115.56,32.8,25,1311,375,1193,351,2.1979,63900,Clovis,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R78,Block 78
79,-115.56,32.8,15,1171,328,1024,298,1.3882,69400,Clovis,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R79,Block 79
80,-115.56,32.79,20,2372,835,2283,767,1.1707,62500,Colfax,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R80,Block 80
81,-115.56,32.79,18,1178,438,1377,429,1.3373,58300,Colfax,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R81,Block 81
82,-115.56,32.78,46,2511,490,1583,469,3.0603,70800,Colusa,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R82,Block 82
83,-115.56,32.78,35,1185,202,615,191,4.6154,86200,Colusa,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R83,Block 83
84,-115.56,32.78,29,1568,283,848,245,3.1597,76200,Colusa,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R84,Block 84
85,-115.56,32.76,15,1278,217,653,185,4.4821,140300,Concord,3.5446 < income <= 4.767 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R85,Block 85
86,-115.57,32.85,33,1365,269,825,250,3.2396,62300,Corcoran,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R86,Block 86
87,-115.57,32.85,17,1039,256,728,246,1.7411,63500,Corcoran,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R87,Block 87
88,-115.57,32.84,29,1207,301,804,288,1.9531,61100,Corona,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R88,Block 88
89,-115.57,32.83,31,1494,289,959,284,3.5282,67500,Coronado,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R89,Block 89
90,-115.57,32.8,16,2276,594,1184,513,1.875,93800,Costa Mesa,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R90,Block 90
91,-115.57,32.79,34,1152,208,621,208,3.6042,73600,Cotati,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R91,Block 91
92,-115.57,32.78,20,1534,235,871,222,6.2715,97200,Covina,4.767 < income <= 15.0001 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R92,Block 92
93,-115.57,32.78,15,1413,279,803,277,4.3021,87500,Covina,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R93,Block 93
94,-115.58,33.88,21,1161,282,724,186,3.1827,71700,Cudahy,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R94,Block 94
95,-115.58,32.81,5,805,143,458,143,4.475,96300,Culver City,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R95,Block 95
96,-115.58,32.81,10,1088,203,533,201,3.6597,87500,Culver City,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R96,Block 96
97,-115.58,32.79,14,1687,507,762,451,1.6635,64400,Cypress,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R97,Block 97
98,-115.58,32.78,5,2494,414,1416,421,5.7843,110100,Daly City,4.767 < income <= 15.0001 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R98,Block 98
99,-115.59,32.85,20,1608,274,862,248,4.875,90800,Dana Point,4.767 < income <= 15.0001 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R99,Block 99
100,-115.59,32.79,8,2183,307,1000,287,6.3814,159900,Davis,4.767 < income <= 15.0001 ,119400.0 < House_Value <= 180400.0 ,1.0 < Housing_Age < 18.0 ,R100,Block 100
101,-115.59,32.69,30,935,177,649,148,2.5769,94400,Del Mar,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R101,Block 101
102,-115.6,33.2,37,709,187,390,142,2.4511,72500,Del Rey Oaks,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R102,Block 102
103,-115.6,32.87,3,1629,317,1005,312,4.1293,83200,Delano,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R103,Block 103
104,-115.62,33.04,20,1121,244,766,230,2.2969,62000,Desert Hot Springs,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R104,Block 104
105,-115.62,33.04,17,1009,231,745,217,2.0463,61200,Desert Hot Springs,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R105,Block 105
106,-115.64,32.8,23,1228,235,569,235,3.1667,125000,Dinuba,2.566375 < income <= 3.5446 ,119400.0 < House_Value <= 180400.0 ,18.0 < Housing_Age < 29.0 ,R106,Block 106
107,-115.69,32.79,18,1564,340,1161,343,2.1792,55200,Dixon,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R107,Block 107
108,-115.72,32.75,16,348,99,123,54,2.0938,87500,Dorris,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R108,Block 108
109,-115.73,33.36,19,749,238,476,169,1.7727,50000,Dos Palos,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R109,Block 109
110,-115.73,33.35,23,1586,448,338,182,1.2132,30000,Downey,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R110,Block 110
111,-115.73,33.09,27,452,103,258,61,2.9,87500,Duarte,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R111,Block 111
112,-115.73,32.8,44,472,81,206,57,2.2083,93800,Dublin,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,37.0 < Housing_Age < 52.0 ,R112,Block 112
113,-115.8,33.26,2,96,18,30,16,5.3374,47500,Dunsmuir,4.767 < income <= 15.0001 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R113,Block 113
114,-115.84,33.49,20,1660,379,637,250,2.0347,68900,East Palo Alto,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R114,Block 114
115,-115.85,34.2,34,3868,1257,890,423,1.3571,41000,Eastvale,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R115,Block 115
116,-115.88,32.93,15,208,49,51,20,4.0208,32500,El Cajon,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R116,Block 116
117,-115.9,33.34,19,1210,248,329,155,1.7857,62800,El Centro,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R117,Block 117
118,-115.91,33.36,15,459,95,160,73,0.922,67500,El Cerrito,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R118,Block 118
119,-115.93,35.55,18,1321,272,754,226,3.4028,67500,El Monte,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R119,Block 119
120,-115.94,33.38,5,186,43,41,21,2.7,58800,El Segundo,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R120,Block 120
121,-115.95,33.28,12,99,25,37,17,1.8958,53800,Elk Grove,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R121,Block 121
122,-115.96,33.3,27,322,81,112,57,1.125,54400,Emeryville,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R122,Block 122
123,-115.98,33.32,8,240,46,63,24,1.4688,53800,Encinitas,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R123,Block 123
124,-115.99,33.4,15,1945,536,515,273,2.0109,54300,Escalon,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R124,Block 124
125,-116,33.19,16,245,57,81,33,1.2639,51300,Escondido,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R125,Block 125
126,-116,32.74,26,1134,280,329,158,1.4338,43900,Etna,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R126,Block 126
127,-116.01,33.51,24,2985,958,4042,905,1.7344,66400,Eureka,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R127,Block 127
128,-116.01,33.41,20,1996,515,659,295,2.8684,62800,Exeter,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R128,Block 128
129,-116.02,34.18,8,569,97,312,96,4.3021,94500,Fairfield,3.5446 < income <= 4.767 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R129,Block 129
130,-116.05,34.12,19,301,65,150,56,3.125,65600,Farmersville,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R130,Block 130
131,-116.05,33.33,17,290,94,135,57,1.7292,81300,Ferndale,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R131,Block 131
132,-116.06,34.2,29,1202,290,383,156,1.3371,66900,Fillmore,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R132,Block 132
133,-116.06,34.15,15,10377,2331,4507,1807,2.2466,66800,Firebaugh,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R133,Block 133
134,-116.08,33.86,16,381,89,182,75,2.425,76100,Folsom,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R134,Block 134
135,-116.09,34.15,13,9444,1997,4166,1482,2.6111,65600,Fontana,2.566375 < income <= 3.5446 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R135,Block 135
136,-116.11,33.64,20,1273,354,1548,355,2.0871,84700,Fort Bragg,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,18.0 < Housing_Age < 29.0 ,R136,Block 136
137,-116.12,33.53,17,2421,820,2971,685,1.654,100000,Fort Jones,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,1.0 < Housing_Age < 18.0 ,R137,Block 137
138,-116.14,34.22,32,3298,1228,763,360,1.875,47800,Fortuna,0.4999 < income <= 2.566375 ,14999.0 < House_Value <= 119400.0 ,29.0 < Housing_Age < 37.0 ,R138,Block 138
